CMDLINE /Users/bear/Documents/GitHub/pyoniverse/pyoniverse-search-engine/venv/bin/python profiles/memory/search.py
MEM 12.921875 1700466762.7962
MEM 12.921875 1700466762.9018
MEM 12.921875 1700466763.0073
MEM 12.921875 1700466763.1125
MEM 12.921875 1700466763.2137
MEM 12.921875 1700466763.3190
MEM 12.921875 1700466763.4243
MEM 12.921875 1700466763.5251
MEM 12.921875 1700466763.6303
MEM 12.921875 1700466763.7349
MEM 12.921875 1700466763.8370
MEM 12.921875 1700466763.9426
MEM 12.921875 1700466764.0482
MEM 12.921875 1700466764.1537
MEM 12.921875 1700466764.2582
MEM 12.921875 1700466764.3626
MEM 12.921875 1700466764.4681
MEM 12.921875 1700466764.5717
MEM 12.921875 1700466764.6772
MEM 12.921875 1700466764.7826
MEM 12.921875 1700466764.8874
MEM 12.921875 1700466764.9925
MEM 12.921875 1700466765.0932
MEM 12.921875 1700466765.1953
MEM 12.921875 1700466765.3015
MEM 12.921875 1700466765.4069
MEM 12.921875 1700466765.5124
MEM 12.921875 1700466765.6158
MEM 12.921875 1700466765.7167
MEM 12.921875 1700466765.8220
MEM 12.921875 1700466765.9259
MEM 12.921875 1700466766.0313
MEM 12.921875 1700466766.1367
MEM 12.921875 1700466766.2420
MEM 12.921875 1700466766.3474
MEM 12.921875 1700466766.4529
MEM 12.921875 1700466766.5550
MEM 12.921875 1700466766.6602
MEM 12.921875 1700466766.7628
MEM 12.921875 1700466766.8643
MEM 12.921875 1700466766.9698
MEM 12.921875 1700466767.0749
MEM 12.921875 1700466767.1759
MEM 12.921875 1700466767.2812
MEM 12.921875 1700466767.3868
MEM 12.921875 1700466767.4874
MEM 12.921875 1700466767.5918
MEM 12.921875 1700466767.6962
MEM 12.921875 1700466767.7975
MEM 12.921875 1700466767.8998
MEM 12.921875 1700466768.0055
MEM 12.921875 1700466768.1111
MEM 12.921875 1700466768.2164
MEM 12.921875 1700466768.3219
MEM 12.921875 1700466768.4238
MEM 12.921875 1700466768.5293
MEM 12.921875 1700466768.6346
MEM 12.921875 1700466768.7394
MEM 12.921875 1700466768.8448
MEM 12.921875 1700466768.9501
MEM 12.921875 1700466769.0555
MEM 12.921875 1700466769.1604
MEM 12.921875 1700466769.2612
MEM 12.921875 1700466769.3665
MEM 12.921875 1700466769.4718
MEM 12.921875 1700466769.5771
MEM 12.921875 1700466769.6824
MEM 12.921875 1700466769.7852
MEM 12.921875 1700466769.8858
MEM 12.921875 1700466769.9915
MEM 12.921875 1700466770.0944
MEM 12.921875 1700466770.2000
MEM 12.921875 1700466770.3051
MEM 12.921875 1700466770.4106
MEM 12.921875 1700466770.5137
MEM 12.921875 1700466770.6192
MEM 12.921875 1700466770.7217
MEM 12.921875 1700466770.8235
MEM 12.921875 1700466770.9291
MEM 12.921875 1700466771.0348
MEM 12.921875 1700466771.1360
MEM 12.921875 1700466771.2414
MEM 12.921875 1700466771.3468
MEM 12.921875 1700466771.4484
MEM 12.921875 1700466771.5538
MEM 12.921875 1700466771.6593
MEM 12.921875 1700466771.7648
MEM 12.921875 1700466771.8653
MEM 12.921875 1700466771.9708
MEM 12.921875 1700466772.0764
MEM 12.921875 1700466772.1805
MEM 12.921875 1700466772.2830
MEM 12.921875 1700466772.3850
MEM 12.921875 1700466772.4905
MEM 12.921875 1700466772.5960
MEM 12.921875 1700466772.6971
MEM 12.921875 1700466772.8028
MEM 12.921875 1700466772.9063
MEM 12.921875 1700466773.0117
MEM 12.921875 1700466773.1171
MEM 12.921875 1700466773.2227
MEM 12.921875 1700466773.3282
MEM 12.921875 1700466773.4338
MEM 12.921875 1700466773.5392
MEM 12.921875 1700466773.6448
MEM 12.921875 1700466773.7480
MEM 12.921875 1700466773.8534
MEM 12.921875 1700466773.9589
MEM 12.921875 1700466774.0642
MEM 12.921875 1700466774.1653
MEM 12.921875 1700466774.2709
MEM 12.921875 1700466774.3747
MEM 12.921875 1700466774.4792
MEM 12.921875 1700466774.5847
MEM 12.921875 1700466774.6902
MEM 12.921875 1700466774.7908
MEM 12.921875 1700466774.8927
MEM 12.921875 1700466774.9983
MEM 12.921875 1700466775.1038
MEM 12.921875 1700466775.2082
MEM 12.921875 1700466775.3137
MEM 12.921875 1700466775.4193
MEM 12.921875 1700466775.5221
MEM 12.921875 1700466775.6277
MEM 12.921875 1700466775.7333
MEM 12.921875 1700466775.8384
MEM 12.921875 1700466775.9429
MEM 12.921875 1700466776.0485
MEM 12.921875 1700466776.1540
MEM 12.921875 1700466776.2556
MEM 12.921875 1700466776.3609
MEM 12.921875 1700466776.4639
MEM 12.921875 1700466776.5694
MEM 12.921875 1700466776.6748
MEM 12.921875 1700466776.7801
MEM 12.921875 1700466776.8855
MEM 12.921875 1700466776.9883
MEM 12.921875 1700466777.0937
MEM 12.921875 1700466777.1983
MEM 12.921875 1700466777.2993
MEM 12.921875 1700466777.4047
MEM 12.921875 1700466777.5100
MEM 12.921875 1700466777.6155
MEM 12.921875 1700466777.7209
MEM 12.921875 1700466777.8215
MEM 12.921875 1700466777.9268
MEM 12.921875 1700466778.0322
MEM 12.921875 1700466778.1376
MEM 12.921875 1700466778.2429
MEM 12.921875 1700466778.3472
MEM 12.921875 1700466778.4484
MEM 12.921875 1700466778.5519
MEM 12.921875 1700466778.6573
MEM 12.921875 1700466778.7596
MEM 12.921875 1700466778.8638
MEM 12.921875 1700466778.9694
MEM 12.921875 1700466779.0751
MEM 12.921875 1700466779.1807
MEM 12.921875 1700466779.2860
MEM 12.921875 1700466779.3914
MEM 12.921875 1700466779.4961
MEM 12.921875 1700466779.6007
MEM 12.921875 1700466779.7012
MEM 12.921875 1700466779.8062
MEM 12.921875 1700466779.9118
MEM 12.921875 1700466780.0128
MEM 12.921875 1700466780.1182
MEM 12.921875 1700466780.2230
MEM 12.921875 1700466780.3248
MEM 12.921875 1700466780.4304
MEM 12.921875 1700466780.5339
MEM 12.921875 1700466780.6380
MEM 12.921875 1700466780.7419
MEM 12.921875 1700466780.8474
MEM 12.921875 1700466780.9529
MEM 12.921875 1700466781.0584
MEM 12.921875 1700466781.1640
MEM 12.921875 1700466781.2698
MEM 12.921875 1700466781.3717
MEM 12.921875 1700466781.4773
MEM 12.921875 1700466781.5827
MEM 12.921875 1700466781.6883
MEM 12.921875 1700466781.7902
MEM 12.921875 1700466781.8912
MEM 12.921875 1700466781.9954
MEM 12.921875 1700466782.1007
MEM 12.921875 1700466782.2051
MEM 12.921875 1700466782.3056
MEM 12.921875 1700466782.4109
MEM 12.921875 1700466782.5162
MEM 12.921875 1700466782.6216
MEM 12.921875 1700466782.7222
MEM 12.921875 1700466782.8268
MEM 12.921875 1700466782.9294
MEM 12.921875 1700466783.0329
MEM 12.921875 1700466783.1382
MEM 12.921875 1700466783.2392
MEM 12.921875 1700466783.3443
MEM 12.921875 1700466783.4499
MEM 12.921875 1700466783.5552
MEM 12.921875 1700466783.6562
MEM 12.921875 1700466783.7617
MEM 12.921875 1700466783.8659
MEM 12.921875 1700466783.9695
MEM 12.921875 1700466784.0750
MEM 12.921875 1700466784.1806
MEM 12.921875 1700466784.2862
MEM 12.921875 1700466784.3917
MEM 12.921875 1700466784.4973
MEM 12.921875 1700466784.5981
MEM 12.921875 1700466784.7037
MEM 12.921875 1700466784.8048
MEM 12.921875 1700466784.9103
MEM 12.921875 1700466785.0142
MEM 12.921875 1700466785.1196
MEM 12.921875 1700466785.2251
MEM 12.921875 1700466785.3306
MEM 12.921875 1700466785.4362
MEM 12.921875 1700466785.5415
MEM 12.921875 1700466785.6462
MEM 12.921875 1700466785.7518
MEM 12.921875 1700466785.8569
MEM 12.921875 1700466785.9625
MEM 12.921875 1700466786.0682
MEM 12.921875 1700466786.1717
MEM 12.921875 1700466786.2772
MEM 12.921875 1700466786.3819
MEM 12.921875 1700466786.4875
MEM 12.921875 1700466786.5933
MEM 12.921875 1700466786.6972
MEM 12.921875 1700466786.8001
MEM 12.921875 1700466786.9050
MEM 12.921875 1700466787.0056
MEM 12.921875 1700466787.1110
MEM 12.921875 1700466787.2137
MEM 12.921875 1700466787.3189
MEM 12.921875 1700466787.4244
MEM 12.921875 1700466787.5299
MEM 12.921875 1700466787.6354
MEM 12.921875 1700466787.7383
MEM 12.921875 1700466787.8438
MEM 12.921875 1700466787.9494
MEM 12.921875 1700466788.0519
MEM 12.921875 1700466788.1573
MEM 12.921875 1700466788.2630
MEM 12.921875 1700466788.3649
MEM 12.921875 1700466788.4670
MEM 12.921875 1700466788.5724
MEM 12.921875 1700466788.6780
MEM 12.921875 1700466788.7836
MEM 12.921875 1700466788.8892
MEM 12.921875 1700466788.9948
MEM 12.921875 1700466789.1004
MEM 12.921875 1700466789.2031
MEM 12.921875 1700466789.3042
MEM 12.921875 1700466789.4050
MEM 12.921875 1700466789.5105
MEM 12.921875 1700466789.6160
