CMDLINE /Users/bear/Documents/GitHub/pyoniverse/pyoniverse-search-engine/venv/bin/python search.py
MEM 310.843750 1700471619.2192
MEM 314.328125 1700471619.3243
MEM 321.218750 1700471619.4295
MEM 321.984375 1700471619.5346
MEM 321.984375 1700471619.6398
MEM 322.093750 1700471619.7406
MEM 324.468750 1700471619.8457
MEM 488.500000 1700471619.9485
MEM 667.796875 1700471620.0499
MEM 586.812500 1700471620.1550
MEM 474.968750 1700471620.2601
MEM 474.968750 1700471620.3653
MEM 504.343750 1700471620.4704
MEM 564.171875 1700471620.5756
MEM 608.921875 1700471620.6807
MEM 726.812500 1700471620.7861
MEM 1108.671875 1700471620.8912
MEM 932.562500 1700471620.9964
MEM 932.562500 1700471621.1017
MEM 932.562500 1700471621.2070
MEM 932.562500 1700471621.3123
MEM 932.562500 1700471621.4177
MEM 932.562500 1700471621.5206
MEM 1049.062500 1700471621.6242
MEM 1191.765625 1700471621.7292
MEM 1311.796875 1700471621.8300
MEM 1203.968750 1700471621.9352
MEM 1321.671875 1700471622.0395
MEM 1554.328125 1700471622.1397
MEM 1482.468750 1700471622.2449
MEM 1508.312500 1700471622.3489
MEM 1555.812500 1700471622.4541
MEM 1790.484375 1700471622.5592
MEM 1821.156250 1700471622.6643
MEM 1837.234375 1700471622.7695
MEM 1875.625000 1700471622.8746
MEM 1891.406250 1700471622.9798
MEM 1891.406250 1700471623.0835
MEM 1891.546875 1700471623.1886
MEM 1899.421875 1700471623.2937
MEM 1899.453125 1700471623.3989
MEM 1899.453125 1700471623.5040
MEM 1899.453125 1700471623.6091
MEM 1899.453125 1700471623.7130
MEM 1899.484375 1700471623.8181
MEM 1899.484375 1700471623.9233
MEM 1899.500000 1700471624.0285
MEM 1900.656250 1700471624.1337
MEM 1900.687500 1700471624.2389
MEM 1900.687500 1700471624.3440
MEM 1900.703125 1700471624.4492
MEM 1896.125000 1700471624.5511
MEM 1896.187500 1700471624.6548
MEM 1627.750000 1700471624.7599
MEM 960.421875 1700471624.8650
MEM 963.312500 1700471624.9702
MEM 960.140625 1700471625.0734
CMDLINE /Users/bear/Documents/GitHub/pyoniverse/pyoniverse-search-engine/venv/bin/python profiles/memory/search.py
MEM 0.187500 1700471632.3994
MEM 32.265625 1700471632.5041
MEM 66.328125 1700471632.6092
MEM 120.281250 1700471632.7144
MEM 136.578125 1700471632.8196
MEM 145.046875 1700471632.9220
MEM 156.187500 1700471633.0229
MEM 171.593750 1700471633.1280
MEM 185.531250 1700471633.2332
MEM 194.000000 1700471633.3383
MEM 199.656250 1700471633.4434
MEM 214.468750 1700471633.5486
MEM 228.406250 1700471633.6508
MEM 232.687500 1700471633.7561
MEM 247.437500 1700471633.8612
MEM 266.390625 1700471633.9659
MEM 278.750000 1700471634.0710
MEM 283.484375 1700471634.1726
MEM 293.187500 1700471634.2777
MEM 311.234375 1700471634.3828
MEM 317.640625 1700471634.4879
MEM 319.875000 1700471634.5930
MEM 320.640625 1700471634.6935
MEM 320.640625 1700471634.7938
MEM 320.906250 1700471634.8989
MEM 322.531250 1700471635.0018
MEM 323.437500 1700471635.1059
MEM 546.515625 1700471635.2110
MEM 783.968750 1700471635.3162
MEM 866.375000 1700471635.4198
MEM 866.375000 1700471635.5249
MEM 915.875000 1700471635.6300
MEM 1043.750000 1700471635.7351
MEM 1170.125000 1700471635.8393
MEM 1195.687500 1700471635.9444
MEM 1195.921875 1700471636.0496
MEM 1017.187500 1700471636.1548
MEM 1017.187500 1700471636.2559
MEM 1017.187500 1700471636.3611
MEM 1118.500000 1700471636.4662
MEM 1432.500000 1700471636.5714
MEM 1215.437500 1700471636.6836
MEM 880.265625 1700471636.7888
MEM 976.359375 1700471636.8895
MEM 908.375000 1700471636.9897
MEM 815.328125 1700471637.0948
MEM 772.468750 1700471637.1999
MEM 779.046875 1700471637.3051
MEM 781.140625 1700471637.4102
MEM 786.875000 1700471637.5153
MEM 813.265625 1700471637.6204
MEM 813.671875 1700471637.7261
MEM 813.843750 1700471637.8312
MEM 813.843750 1700471637.9363
MEM 813.843750 1700471638.0406
MEM 813.843750 1700471638.1412
MEM 813.890625 1700471638.2456
MEM 813.953125 1700471638.3507
MEM 814.015625 1700471638.4558
MEM 814.078125 1700471638.5609
MEM 814.109375 1700471638.6660
MEM 814.109375 1700471638.7712
MEM 814.109375 1700471638.8726
MEM 815.359375 1700471638.9777
